2024	2024	2024	2024	名詞-数詞			0
年	ネン	ネン	年	名詞-普通名詞-助数詞可能			1
06	06	06	06	名詞-数詞			0
月	ガツ	ガツ	月	名詞-普通名詞-助数詞可能			1
05	05	05	05	名詞-数詞			0
日	カ	カ	日	接尾辞-名詞的-助数詞			
16	16	16	16	名詞-数詞			0
時	ジ	ジ	時	名詞-普通名詞-助数詞可能			1
00	00	00	00	名詞-数詞			0
分	フン	フン	分	名詞-普通名詞-助数詞可能			1
ソフトウェア	ソフトウェア	ソフトウェア	ソフトウェア-software	名詞-普通名詞-一般			4
Windows	Windows	Windows	Windows	名詞-普通名詞-一般			0
11	11	11	11	名詞-数詞			0
の	ノ	ノ	の	助詞-格助詞			
すべて	スベテ	スベテ	全て	名詞-普通名詞-副詞可能			1
を	オ	ヲ	を	助詞-格助詞			
保存	ホゾン	ホゾン	保存	名詞-普通名詞-サ変可能			0
する	スル	スル	為る	動詞-非自立可能	サ行変格	連体形-一般	0
「			「	補助記号-括弧開			
Recall	Recall	Recall	Recall	名詞-普通名詞-一般			0
」			」	補助記号-括弧閉			
機能	キノー	キノウ	機能	名詞-普通名詞-サ変可能			1
の	ノ	ノ	の	助詞-格助詞			
記録	キロク	キロク	記録	名詞-普通名詞-サ変可能			0
データ	データ	データ	データ-data	名詞-普通名詞-一般			1,0
から	カラ	カラ	から	助詞-格助詞			
あらゆる	アラユル	アラユル	あらゆる	連体詞			3
もの	モノ	モノ	物	名詞-普通名詞-サ変可能			2,0
を	オ	ヲ	を	助詞-格助詞			
抽出	チューシュツ	チュウシュツ	抽出	名詞-普通名詞-サ変可能			0
する	スル	スル	為る	動詞-非自立可能	サ行変格	連体形-一般	0
「			「	補助記号-括弧開			
TotalRecall	TotalRecall	TotalRecall	TotalRecall	名詞-普通名詞-一般			0
(			（	補助記号-括弧開			
トータル	トータル	トータル	トータル-total	名詞-普通名詞-サ変可能			1
・			・	補助記号-一般			
リコール	リコール	リコール	リコール-recall	名詞-普通名詞-サ変可能			2
)			）	補助記号-括弧閉			
」			」	補助記号-括弧閉			
Microsoft	Microsoft	Microsoft	Microsoft	名詞-普通名詞-一般			0
